game_id,season,week,simple_spread,enhanced_spread,simple_spread_edge,enhanced_spread_edge,simple_spread_edge_abs,enhanced_spread_edge_abs,avg_spread_edge,avg_spread_edge_abs,spread_agreement,spread_model_diff,vegas_spread,vegas_spread_abs,big_favorite,close_game,recent_spread_acc,home_games,away_games,combined_games,home_rest,away_rest,rest_diff,home_post_bye,away_post_bye,bye_advantage,week_normalized,early_season,mid_season,late_season,neutral_site,is_dome,is_primetime,spread_cover,actual_spread
401671774,2024,14,-3.679377029388985,-3.2140916110023716,-0.17937702938898514,0.2859083889976284,0.17937702938898514,0.2859083889976284,0.05326567980432184,0.05326567980432184,0,0.4652854183866135,-3.5,3.5,0,0,0.4,1.0,1.0,1.0,6,10,-4,0,0,0,0.8235294117647058,0,0,1,0,0,0,0.0,-25
401671788,2024,14,-6.437604580094788,-5.219409516169376,-0.9376045800947876,0.2805904838306237,0.9376045800947876,0.2805904838306237,-0.32850704813208154,0.32850704813208154,0,1.2181950639254113,-5.5,5.5,0,0,0.35,1.0,1.0,1.0,10,8,2,0,0,0,0.8235294117647058,0,0,1,0,0,1,0.0,-2
401671690,2024,14,-1.0446618730011012,-3.2721937161691863,-5.544661873001101,-7.772193716169186,5.544661873001101,7.772193716169186,-6.658427794585144,6.658427794585144,1,2.227531843168085,4.5,4.5,0,0,0.35,1.0,1.0,1.0,12,9,3,0,0,0,0.8235294117647058,0,0,1,0,1,0,0.0,7
401671818,2024,15,-4.453959434443636,-4.052095425305794,-1.953959434443636,-1.5520954253057937,1.953959434443636,1.5520954253057937,-1.7530274298747148,1.7530274298747148,1,0.40186400913784226,-2.5,2.5,0,1,0.35,1.0,1.0,1.0,5,5,0,0,0,0,0.8823529411764706,0,0,1,0,0,0,0.0,6
401671639,2024,15,5.837518368651702,6.0987856396136575,-10.662481631348298,-10.401214360386343,10.662481631348298,10.401214360386343,-10.53184799586732,10.53184799586732,1,0.26126727096195523,16.5,16.5,1,0,0.3,1.0,1.0,1.0,7,14,-7,0,1,-1,0.8823529411764706,0,0,1,0,0,0,0.0,21
401671706,2024,15,-2.388204777745087,-3.97642817985166,-5.888204777745087,-7.47642817985166,5.888204777745087,7.47642817985166,-6.6823164787983735,6.6823164787983735,1,1.588223402106573,3.5,3.5,0,0,0.25,1.0,1.0,1.0,7,7,0,0,0,0,0.8823529411764706,0,0,1,0,0,0,0.0,7
401671731,2024,15,-3.065282719454539,-2.112532363936759,-0.5652827194545389,0.3874676360632412,0.5652827194545389,0.3874676360632412,-0.08890754169564907,0.08890754169564907,0,0.9527503555177801,-2.5,2.5,0,1,0.25,1.0,1.0,1.0,7,5,2,0,0,0,0.8823529411764706,0,0,1,0,0,0,0.0,16
401671737,2024,15,0.9015574242813784,-0.544324297689275,-6.598442575718622,-8.044324297689275,6.598442575718622,8.044324297689275,-7.3213834367039485,7.3213834367039485,1,1.4458817219706535,7.5,7.5,1,0,0.3,1.0,1.0,1.0,7,14,-7,0,1,-1,0.8823529411764706,0,0,1,0,1,0,1.0,1
401671825,2024,15,-0.2644029464872615,1.465138384833279,-6.7644029464872615,-5.0348616151667205,6.7644029464872615,5.0348616151667205,-5.899632280826991,5.899632280826991,1,1.7295413313205406,6.5,6.5,0,0,0.3,1.0,1.0,1.0,7,5,2,0,0,0,0.8823529411764706,0,0,1,0,0,0,0.0,10
401671854,2024,15,-1.81460865449269,0.23789398441811604,-5.31460865449269,-3.262106015581884,5.31460865449269,3.262106015581884,-4.288357335037287,4.288357335037287,1,2.052502638910806,3.5,3.5,0,0,0.3,1.0,1.0,1.0,7,6,1,0,0,0,0.8823529411764706,0,0,1,0,0,0,0.0,14
401671860,2024,15,-3.5537403399480945,-3.6651769033152486,-1.0537403399480945,-1.1651769033152486,1.0537403399480945,1.1651769033152486,-1.1094586216316715,1.1094586216316715,1,0.11143656336715413,-2.5,2.5,0,1,0.35,1.0,1.0,1.0,14,7,7,1,0,1,0.8823529411764706,0,0,1,0,1,0,1.0,-8
401671669,2024,15,-5.137042012325216,-9.194496492809291,-1.6370420123252156,-5.694496492809291,1.6370420123252156,5.694496492809291,-3.6657692525672534,3.6657692525672534,1,4.0574544804840755,-3.5,3.5,0,0,0.35,1.0,1.0,1.0,12,14,-2,0,1,-1,0.8823529411764706,0,0,1,0,0,0,1.0,-18
401671677,2024,15,-5.4715805546050005,-4.073498007100467,0.02841944539499952,1.4265019928995333,0.02841944539499952,1.4265019928995333,0.7274607191472668,0.7274607191472668,1,1.3980825475045338,-5.5,5.5,0,0,0.3,1.0,1.0,1.0,7,14,-7,0,1,-1,0.8823529411764706,0,0,1,0,1,0,0.0,-13
