Unnamed: 0,Spread,Total,Moneyline,Unnamed: 4,Unnamed: 5,Unnamed: 6
221 Utah State,7-2 ATS 25%,5-4 O/U,5-5 SU,Create Free Account,Create Free Account,Create Free Account
222 Fresno State,4-5 ATS 75%,3-6 O/U,7-3 SU,Create Free Account,Create Free Account,Create Free Account
Open,FRES -1.5,o51.5,-135,,,
Consensus,FRES -2.5,o50.5,-135,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
101 UMass,0-9 ATS 1%,6-3 O/U 27%,0-10 SU 63%,,,
102 Ohio,6-3 ATS 99%,3-6 O/U 73%,6-4 SU 37%,,,
Open,OHIO -29.5,o51.5,-10000,,,
Consensus,OHIO -32.5,o51.5,-20000,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
103 Akron,4-6 ATS 99%,6-4 O/U 27%,4-7 SU 13%,Create Free Account,Create Free Account,Create Free Account
104 Bowling Green,4-5 ATS 1%,4-5 O/U 73%,3-7 SU 87%,Create Free Account,Create Free Account,Create Free Account
Open,BGSU -4.5,o47.5,-185,,,
Consensus,BGSU -3.5,o47.5,-180,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
105 Western Michigan,6-3 ATS 9%,3-6 O/U 27%,6-4 SU 69%,Create Free Account,Create Free Account,Create Free Account
106 Northern Illinois,3-6 ATS 91%,4-5 O/U 73%,3-7 SU 31%,Create Free Account,Create Free Account,Create Free Account
Open,WMU -5.5,o38.5,-225,,,
Consensus,WMU -6,o38.5,-218,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
107 Miami (OH),4-5 ATS 10%,5-4 O/U 77%,5-5 SU 89%,Create Free Account,Create Free Account,Create Free Account
108 Buffalo,2-7 ATS 90%,4-5 O/U 23%,5-5 SU 11%,Create Free Account,Create Free Account,Create Free Account
Open,BUFF -2.5,o39.5,-135,,,
Consensus,BUFF -1.5,o39.5,-125,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
109 Central Michigan,6-3 ATS 17%,6-3 O/U 78%,6-4 SU 88%,Create Free Account,Create Free Account,Create Free Account
110 Kent State,5-4 ATS 83%,5-4 O/U 22%,4-6 SU 12%,Create Free Account,Create Free Account,Create Free Account
Open,CMU -7,o45.5,-285,,,
